From	To	Species	Gene Name
ENSSSCG00000026385	100739654	Sus scrofa	mastermind-like protein 2(LOC100739654)
ENSSSCG00000003197	100519902	Sus scrofa	mediator complex subunit 25(MED25)
ENSSSCG00000017705	396613	Sus scrofa	C-C motif chemokine ligand 5(CCL5)
ENSSSCG00000015487	100516458	Sus scrofa	tumor necrosis factor superfamily member 18(TNFSF18)
ENSSSCG00000021573	397448	Sus scrofa	potassium voltage-gated channel subfamily J member 5(KCNJ5)
ENSSSCG00000001560	100152200	Sus scrofa	chromosome 7 open reading frame, human C6orf222(C7H6orf222)
ENSSSCG00000021576	100153365	Sus scrofa	CD83 molecule(CD83)
ENSSSCG00000017702	100516039	Sus scrofa	C-C motif chemokine ligand 23(CCL23)
ENSSSCG00000001561	100156210	Sus scrofa	ETS variant 7(ETV7)
ENSSSCG00000017700	494459	Sus scrofa	chemokine (C-C motif) ligand 3-like 1(CCL3L1)
ENSSSCG00000027428	100303726	Sus scrofa	energy homeostasis associated(ENHO)
ENSSSCG00000008443	100037272	Sus scrofa	endothelial PAS domain protein 1(EPAS1)
ENSSSCG00000017506	100517553	Sus scrofa	F-box and leucine rich repeat protein 20(FBXL20)
ENSSSCG00000001943	100156821	Sus scrofa	paired box 9(PAX9)
ENSSSCG00000017502	100516999	Sus scrofa	post-GPI attachment to proteins 3(PGAP3)
ENSSSCG00000005055	100038033	Sus scrofa	galectin 3(LGALS3)
ENSSSCG00000027862	102160065	Sus scrofa	family with sequence similarity 200 member B(FAM200B)
ENSSSCG00000002620	100152550	Sus scrofa	EF-hand domain containing 1(EFHC1)
ENSSSCG00000029658	100512727	Sus scrofa	transmembrane protease serine 11D(LOC100512727)
ENSSSCG00000027865	100156917	Sus scrofa	galactosylceramidase(GALC)
ENSSSCG00000022797	100515931	Sus scrofa	protein phosphatase 1 regulatory subunit 3B(PPP1R3B)
ENSSSCG00000005533	397541	Sus scrofa	prostaglandin-endoperoxide synthase 1(PTGS1)
ENSSSCG00000009517	100522635	Sus scrofa	G protein-coupled receptor 183(GPR183)
ENSSSCG00000002841	100520431	Sus scrofa	NEDD4 binding protein 1(N4BP1)
ENSSSCG00000013017	100516416	Sus scrofa	EH domain containing 1(EHD1)
ENSSSCG00000010438	100157471	Sus scrofa	ATPase family, AAA domain containing 1(ATAD1)
ENSSSCG00000004674	100157418	Sus scrofa	Src homology 2 domain containing F(SHF)
ENSSSCG00000004875	414799	Sus scrofa	cytochrome b5 type A (microsomal)(CYB5A)
ENSSSCG00000004682	106504143	Sus scrofa	beta-2-microglobulin(LOC106504143)
ENSSSCG00000005738	100513970	Sus scrofa	ral guanine nucleotide dissociation stimulator(RALGDS)
ENSSSCG00000002439	100153615	Sus scrofa	G protein-coupled receptor 68(GPR68)
ENSSSCG00000023749	100517471	Sus scrofa	adrenomedullin 2(ADM2)
ENSSSCG00000012893	100522238	Sus scrofa	protein unc-93 homolog B1(LOC100522238)
ENSSSCG00000005926	100516730	Sus scrofa	poly(ADP-ribose) polymerase family member 10(PARP10)
ENSSSCG00000017924	100516108	Sus scrofa	proline-, glutamic acid- and leucine-rich protein 1-like(LOC100516108)
ENSSSCG00000017921	100513818	Sus scrofa	zinc finger MYND-type containing 15(ZMYND15)
ENSSSCG00000012890	100521769	Sus scrofa	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3(TCIRG1)
ENSSSCG00000010444	100153843	Sus scrofa	lipase family member M(LIPM)
ENSSSCG00000013244	100512824	Sus scrofa	protein kinase C and casein kinase substrate in neurons 3(PACSIN3)
ENSSSCG00000010448	396826	Sus scrofa	Fas cell surface death receptor(FAS)
ENSSSCG00000013004	100514510	Sus scrofa	transmembrane 7 superfamily member 2(TM7SF2)
ENSSSCG00000023955	100737760	Sus scrofa	DNA repair protein RAD51 homolog 3-like(LOC100737760)
ENSSSCG00000013853	100511370	Sus scrofa	hematopoietic SH2 domain containing(HSH2D)
ENSSSCG00000010446	100152651	Sus scrofa	STAM binding protein like 1(STAMBPL1)
ENSSSCG00000004687	397033	Sus scrofa	beta-2-microglobulin(B2M)
ENSSSCG00000009505	100519915	Sus scrofa	muscleblind like splicing regulator 2(MBNL2)
ENSSSCG00000013655	396750	Sus scrofa	intercellular adhesion molecule 1(ICAM1)
ENSSSCG00000005723	100512264	Sus scrofa	netrin G2(NTNG2)
ENSSSCG00000002444	100155248	Sus scrofa	fibulin 5(FBLN5)
ENSSSCG00000005724	100511239	Sus scrofa	senataxin(SETX)
ENSSSCG00000015041	100737857	Sus scrofa	placenta-expressed transcript 1 protein(LOC100737857)
ENSSSCG00000002867	100525580	Sus scrofa	CCAAT/enhancer binding protein gamma(CEBPG)
ENSSSCG00000005512	414437	Sus scrofa	complement C5(C5)
ENSSSCG00000030165	100156484	Sus scrofa	MAF bZIP transcription factor F(MAFF)
ENSSSCG00000013034	100525148	Sus scrofa	phospholipase C beta 3(PLCB3)
ENSSSCG00000022850	100522032	Sus scrofa	rhomboid-related protein 3(LOC100522032)
ENSSSCG00000004658	414836	Sus scrofa	fibrillin 1(FBN1)
ENSSSCG00000004657	100152345	Sus scrofa	centrosomal protein 152(CEP152)
ENSSSCG00000013042	100525503	Sus scrofa	coiled-coil domain containing 88B(CCDC88B)
ENSSSCG00000009542	100038026	Sus scrofa	tumor necrosis factor superfamily member 13b(TNFSF13B)
ENSSSCG00000013664	100512458	Sus scrofa	chromosome 2 open reading frame, human C19orf66(C2H19orf66)
ENSSSCG00000002451	100155709	Sus scrofa	Ras and Rab interactor 3(RIN3)
ENSSSCG00000015052	100626053	Sus scrofa	ubiquitin specific peptidase 28(USP28)
ENSSSCG00000030150	100627727	Sus scrofa	UDP-glucose 6-dehydrogenase(UGDH)
ENSSSCG00000002471	100153902	Sus scrofa	putative ISG12(a) protein(ISG12(A))
ENSSSCG00000024009	100515264	Sus scrofa	calcium/calmodulin dependent protein kinase II inhibitor 1(CAMK2N1)
ENSSSCG00000021731	100621011	Sus scrofa	WW and C2 domain containing 2(WWC2)
ENSSSCG00000005506	100157028	Sus scrofa	multiple EGF like domains 9(MEGF9)
ENSSSCG00000016416	100512749	Sus scrofa	sonic hedgehog(SHH)
ENSSSCG00000004663	100511850	Sus scrofa	semaphorin 6D(SEMA6D)
ENSSSCG00000009524	100524643	Sus scrofa	transmembrane and tetratricopeptide repeat containing 4(TMTC4)
ENSSSCG00000004662	100511672	Sus scrofa	solute carrier family 24 member 5(SLC24A5)
ENSSSCG00000004870	100158127	Sus scrofa	CNDP dipeptidase 2 (metallopeptidase M20 family)(CNDP2)
ENSSSCG00000016420	403162	Sus scrofa	insulin induced gene 1(INSIG1)
ENSSSCG00000010624	100157144	Sus scrofa	dual specificity phosphatase 5(DUSP5)
ENSSSCG00000005211	574058	Sus scrofa	CD274 molecule(CD274)
ENSSSCG00000004670	100152534	Sus scrofa	chromosome 1 open reading frame, human C15orf48(C1H15orf48)
ENSSSCG00000016824	100145886	Sus scrofa	retinoic acid induced 14(RAI14)
ENSSSCG00000028367	100525936	Sus scrofa	dual adaptor of phosphotyrosine and 3-phosphoinositides 1(DAPP1)
ENSSSCG00000029080	100623291	Sus scrofa	serine palmitoyltransferase small subunit B(SPTSSB)
ENSSSCG00000017298	100515233	Sus scrofa	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2(TANC2)
ENSSSCG00000023732	100622416	Sus scrofa	kelch domain containing 7A(KLHDC7A)
ENSSSCG00000005701	414411	Sus scrofa	argininosuccinate synthase 1(ASS1)
ENSSSCG00000025294	100621659	Sus scrofa	autoimmune regulator(AIRE)
ENSSSCG00000006776	100521086	Sus scrofa	Mov10 RISC complex RNA helicase(MOV10)
ENSSSCG00000009764	100521520	Sus scrofa	coiled-coil domain containing 92(CCDC92)
ENSSSCG00000013885	100518178	Sus scrofa	FCH domain only 1(FCHO1)
ENSSSCG00000024015	444995	Sus scrofa	fatty acid desaturase 1(FADS1)
ENSSSCG00000030108	100624243	Sus scrofa	zinc finger NFX1-type containing 1(ZNFX1)
ENSSSCG00000012657	100524062	Sus scrofa	apoptosis inducing factor, mitochondria associated 1(AIFM1)
ENSSSCG00000023178	100515875	Sus scrofa	basic leucine zipper ATF-like transcription factor 2(BATF2)
ENSSSCG00000017087	100515283	Sus scrofa	GM2 ganglioside activator(GM2A)
ENSSSCG00000023177	100620746	Sus scrofa	ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)(RRP9)
ENSSSCG00000017084	102161049	Sus scrofa	FAT atypical cadherin 2(FAT2)
ENSSSCG00000013888	100518649	Sus scrofa	Janus kinase 3(JAK3)
ENSSSCG00000002681	100516372	Sus scrofa	hydroxysteroid dehydrogenase like 1(HSDL1)
ENSSSCG00000017968	100626956	Sus scrofa	centrobin, centriole duplication and spindle assembly protein(CNTROB)
ENSSSCG00000002474	100737576	Sus scrofa	protein phosphatase 4 regulatory subunit 4(PPP4R4)
ENSSSCG00000009565	100519331	Sus scrofa	growth arrest specific 6(GAS6)
ENSSSCG00000009567	100519683	Sus scrofa	RAS p21 protein activator 3(RASA3)
ENSSSCG00000009755	100156545	Sus scrofa	acetoacetyl-CoA synthetase(AACS)
ENSSSCG00000006609	100154311	Sus scrofa	trichohyalin like 1(TCHHL1)
ENSSSCG00000014139	100627205	Sus scrofa	arylsulfatase family member K(ARSK)
ENSSSCG00000024023	100624677	Sus scrofa	histamine N-methyltransferase(HNMT)
ENSSSCG00000022880	100737729	Sus scrofa	polyribonucleotide nucleotidyltransferase 1, mitochondrial-like(LOC100737729)
ENSSSCG00000013898	100037970	Sus scrofa	cAMP-specific 3',5'-cyclic phosphodiesterase 4C(LOC100037970)
ENSSSCG00000013894	100271900	Sus scrofa	interleukin 12 receptor subunit beta 1(IL12RB1)
ENSSSCG00000013491	100626455	Sus scrofa	tight junction protein 3(TJP3)
ENSSSCG00000025976	102167148	Sus scrofa	membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2-like(LOC102167148)
ENSSSCG00000023710	100522432	Sus scrofa	receptor accessory protein 1(REEP1)
ENSSSCG00000014141	100516784	Sus scrofa	Rieske Fe-S domain containing(RFESD)
ENSSSCG00000023713	102161128	Sus scrofa	neuropilin-2-like(LOC102161128)
ENSSSCG00000030379	100523752	Sus scrofa	yippee like 1(YPEL1)
ENSSSCG00000014167	397463	Sus scrofa	glutaredoxin(GLRX)
ENSSSCG00000021059	606743	Sus scrofa	adenosine A1 receptor(ADORA1)
ENSSSCG00000009786	100154116	Sus scrofa	huntingtin interacting protein 1 related(HIP1R)
ENSSSCG00000017992	100514186	Sus scrofa	major facilitator superfamily domain containing 6 like(MFSD6L)
ENSSSCG00000015002	100626413	Sus scrofa	ELMO domain containing 1(ELMOD1)
ENSSSCG00000011390	100513565	Sus scrofa	inositol hexakisphosphate kinase 1(IP6K1)
ENSSSCG00000013237	414912	Sus scrofa	Spi-1 proto-oncogene(SPI1)
ENSSSCG00000011391	100513757	Sus scrofa	cadherin related family member 4(CDHR4)
ENSSSCG00000011392	100512437	Sus scrofa	family with sequence similarity 212 member A(FAM212A)
ENSSSCG00000017062	100523827	Sus scrofa	T-cell immunoglobulin and mucin domain containing 4(TIMD4)
ENSSSCG00000011393	100512631	Sus scrofa	ubiquitin like modifier activating enzyme 7(UBA7)
ENSSSCG00000017263	100522824	Sus scrofa	G protein subunit alpha 13(GNA13)
ENSSSCG00000004894	100155836	Sus scrofa	serpin family B member 5(SERPINB5)
ENSSSCG00000014171	100523953	Sus scrofa	endoplasmic reticulum aminopeptidase 1(ERAP1)
ENSSSCG00000009778	100626388	Sus scrofa	Rab interacting lysosomal protein like 2(RILPL2)
ENSSSCG00000004897	100625613	Sus scrofa	zinc finger CCHC-type containing 2(ZCCHC2)
ENSSSCG00000003395	100518131	Sus scrofa	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(PIK3CD)
ENSSSCG00000014156	100520233	Sus scrofa	arrestin domain containing 3(ARRDC3)
ENSSSCG00000023972	100462750	Sus scrofa	DNA damage regulated autophagy modulator 1(DRAM1)
ENSSSCG00000006625	100517711	Sus scrofa	regulatory factor X5(RFX5)
ENSSSCG00000015014	100511889	Sus scrofa	zinc finger CCCH-type containing 12C(ZC3H12C)
ENSSSCG00000015019	100512618	Sus scrofa	colorectal cancer associated 2(COLCA2)
ENSSSCG00000017254	100625946	Sus scrofa	mitogen-activated protein kinase kinase 6(MAP2K6)
ENSSSCG00000017255	100738613	Sus scrofa	ATP binding cassette subfamily A member 5(ABCA5)
ENSSSCG00000010662	100157399	Sus scrofa	heat shock protein family A (Hsp70) member 12A(HSPA12A)
ENSSSCG00000013639	100524730	Sus scrofa	solute carrier family 44 member 2(SLC44A2)
ENSSSCG00000024430	100739264	Sus scrofa	hes family bHLH transcription factor 4(HES4)
ENSSSCG00000017497	100516641	Sus scrofa	erb-b2 receptor tyrosine kinase 2(ERBB2)
ENSSSCG00000017498	100736966	Sus scrofa	protein phosphatase 1 regulatory inhibitor subunit 1B(PPP1R1B)
ENSSSCG00000006872	100156940	Sus scrofa	glycogen debranching enzyme(LOC100156940)
ENSSSCG00000016364	100525965	Sus scrofa	glypican 1(GPC1)
ENSSSCG00000024671	100512949	Sus scrofa	Wnt family member 9A(WNT9A)
ENSSSCG00000029023	100627052	Sus scrofa	ADP ribosylation factor like GTPase 5B(ARL5B)
ENSSSCG00000024674	100627019	Sus scrofa	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)
ENSSSCG00000022521	100621064	Sus scrofa	dpy-19 like 3 (C. elegans)(DPY19L3)
ENSSSCG00000022522	100737042	Sus scrofa	voltage-dependent calcium channel subunit alpha-2/delta-3-like(LOC100737042)
ENSSSCG00000006531	100155923	Sus scrofa	ephrin A3(EFNA3)
ENSSSCG00000011965	100522901	Sus scrofa	transmembrane protein 45A(TMEM45A)
ENSSSCG00000011765	100524109	Sus scrofa	ubiquitin specific peptidase 13 (isopeptidase T-3)(USP13)
ENSSSCG00000020666	100738234	Sus scrofa	EH domain-containing protein 4(LOC100738234)
ENSSSCG00000012621	100154142	Sus scrofa	ubiquitin conjugating enzyme E2 A(UBE2A)
ENSSSCG00000000808	100525644	Sus scrofa	solute carrier family 38 member 2(SLC38A2)
ENSSSCG00000012620	100155370	Sus scrofa	NFKB repressing factor(NKRF)
ENSSSCG00000014213	100519705	Sus scrofa	potassium calcium-activated channel subfamily N member 2(KCNN2)
ENSSSCG00000012623	100158185	Sus scrofa	solute carrier family 25 member 5(SLC25A5)
ENSSSCG00000014216	100520421	Sus scrofa	toll like receptor adaptor molecule 2(TICAM2)
ENSSSCG00000014217	100736614	Sus scrofa	protein fem-1 homolog C(LOC100736614)
ENSSSCG00000006862	396925	Sus scrofa	vascular cell adhesion molecule 1(VCAM1)
ENSSSCG00000010991	100126235	Sus scrofa	aquaporin 3 (Gill blood group)(AQP3)
ENSSSCG00000006127	100153233	Sus scrofa	nibrin(NBN)
ENSSSCG00000011145	100517911	Sus scrofa	ankyrin repeat and SOCS box containing 13(ASB13)
ENSSSCG00000005699	100623602	Sus scrofa	hemicentin 2(HMCN2)
ENSSSCG00000012001	100517310	Sus scrofa	roundabout guidance receptor 1(ROBO1)
ENSSSCG00000000252	100152077	Sus scrofa	keratin 8(KRT8)
ENSSSCG00000017885	100523750	Sus scrofa	smoothelin like 2(SMTNL2)
ENSSSCG00000000253	100126286	Sus scrofa	keratin 18(KRT18)
ENSSSCG00000011978	100511474	Sus scrofa	coproporphyrinogen oxidase(CPOX)
ENSSSCG00000017887	102159947	Sus scrofa	XIAP associated factor 1(XAF1)
ENSSSCG00000000261	100101923	Sus scrofa	insulin like growth factor binding protein 6(IGFBP6)
ENSSSCG00000017893	100521819	Sus scrofa	family with sequence similarity 64 member A(FAM64A)
ENSSSCG00000000260	100515544	Sus scrofa	sterol O-acyltransferase 2(SOAT2)
ENSSSCG00000024692	100154945	Sus scrofa	ribosome binding protein 1(RRBP1)
ENSSSCG00000006858	100156959	Sus scrofa	olfactomedin 3(OLFM3)
ENSSSCG00000006851	100737105	Sus scrofa	guanine nucleotide exchange factor VAV3(LOC100737105)
ENSSSCG00000014242	100512589	Sus scrofa	zinc finger protein 608(ZNF608)
ENSSSCG00000015850	100514374	Sus scrofa	dual specificity phosphatase 4(DUSP4)
ENSSSCG00000025911	100157535	Sus scrofa	transmembrane protein 151B(TMEM151B)
ENSSSCG00000003897	100738460	Sus scrofa	MOB kinase activator 3C(MOB3C)
ENSSSCG00000006348	100153659	Sus scrofa	Fc receptor like B(FCRLB)
ENSSSCG00000006350	613131	Sus scrofa	Fc fragment of IgG, low affinity IIb, receptor (CD32)(FCGR2B)
ENSSSCG00000027164	100622559	Sus scrofa	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform-like(LOC100622559)
ENSSSCG00000025326	100521508	Sus scrofa	transmembrane protein 243(TMEM243)
ENSSSCG00000006543	100523784	Sus scrofa	adenosine deaminase, RNA specific(ADAR)
ENSSSCG00000000293	100155091	Sus scrofa	integrin subunit alpha 5(ITGA5)
ENSSSCG00000006141	494016	Sus scrofa	carbonic anhydrase 3(CA3)
ENSSSCG00000006842	100519308	Sus scrofa	AKNA domain containing 1(AKNAD1)
ENSSSCG00000014232	100525278	Sus scrofa	lysyl oxidase(LOX)
ENSSSCG00000017091	100271903	Sus scrofa	TNFAIP3 interacting protein 1(TNIP1)
ENSSSCG00000016101	414381	Sus scrofa	CASP8 and FADD like apoptosis regulator(CFLAR)
ENSSSCG00000011950	100520806	Sus scrofa	neurexophilin and PC-esterase domain family member 3(NXPE3)
ENSSSCG00000003473	100521799	Sus scrofa	REM2 and RAB like small GTPase 1(RSG1)
ENSSSCG00000003471	100522873	Sus scrofa	EPH receptor A2(EPHA2)
ENSSSCG00000003470	100521274	Sus scrofa	family with sequence similarity 131 member C(FAM131C)
ENSSSCG00000024666	397413	Sus scrofa	FXYD domain containing ion transport regulator 3(FXYD3)
ENSSSCG00000005484	100157179	Sus scrofa	zinc finger protein 618(ZNF618)
ENSSSCG00000006335	100157437	Sus scrofa	regulator of G-protein signaling 4(RGS4)
ENSSSCG00000025729	100512686	Sus scrofa	insulin receptor substrate 1(IRS1)
ENSSSCG00000003669	100518612	Sus scrofa	major facilitator superfamily domain containing 2A(MFSD2A)
ENSSSCG00000025005	100517222	Sus scrofa	beta-1,4-galactosyltransferase 6(B4GALT6)
ENSSSCG00000006532	100154710	Sus scrofa	ephrin A4(EFNA4)
ENSSSCG00000024867	448855	Sus scrofa	interferon stimulated exonuclease gene 20(ISG20)
ENSSSCG00000006537	100513469	Sus scrofa	lens epithelial protein(LENEP)
ENSSSCG00000011755	100154209	Sus scrofa	neutral cholesterol ester hydrolase 1(NCEH1)
ENSSSCG00000003670	100620967	Sus scrofa	rearranged L-myc fusion(RLF)
ENSSSCG00000020674	100621764	Sus scrofa	DEP domain containing 7(DEPDC7)
ENSSSCG00000011750	100519446	Sus scrofa	phospholipase D1(PLD1)
ENSSSCG00000003463	100519548	Sus scrofa	agmatinase(AGMAT)
ENSSSCG00000012034	100524587	Sus scrofa	T-cell lymphoma invasion and metastasis 1(TIAM1)
ENSSSCG00000023796	100525765	Sus scrofa	interleukin 18 binding protein(IL18BP)
ENSSSCG00000012038	100156100	Sus scrofa	chromosome 13 open reading frame, human C21orf62(C13H21orf62)
ENSSSCG00000009869	100153154	Sus scrofa	LIM homeobox 5(LHX5)
ENSSSCG00000008736	100462674	Sus scrofa	cytoplasmic polyadenylation element binding protein 2(CPEB2)
ENSSSCG00000003694	100522875	Sus scrofa	elastin microfibril interfacer 2(EMILIN2)
ENSSSCG00000006159	100157952	Sus scrofa	hes related family bHLH transcription factor with YRPW motif 1(HEY1)
ENSSSCG00000006822	106510200	Sus scrofa	glutathione S-transferase Mu 1(LOC106510200)
ENSSSCG00000006163	397408	Sus scrofa	protein kinase (cAMP-dependent, catalytic) inhibitor alpha(PKIA)
ENSSSCG00000007401	397528	Sus scrofa	syndecan 4(SDC4)
ENSSSCG00000006161	397253	Sus scrofa	interleukin 7(IL7)
ENSSSCG00000011720	100525306	Sus scrofa	muscleblind like splicing regulator 1(MBNL1)
ENSSSCG00000009871	100155595	Sus scrofa	serine dehydratase(SDS)
ENSSSCG00000025344	100739860	Sus scrofa	polyhomeotic-like protein 2(LOC100739860)
ENSSSCG00000006829	100514960	Sus scrofa	synaptophysin like 2(SYPL2)
ENSSSCG00000008741	100511886	Sus scrofa	fibroblast growth factor binding protein 1(FGFBP1)
ENSSSCG00000030174	100153862	Sus scrofa	adaptor-related protein complex 3, sigma 2 subunit(AP3S2)
ENSSSCG00000009874	100525129	Sus scrofa	RAS protein activator like 1(RASAL1)
ENSSSCG00000013181	100144304	Sus scrofa	serpin family G member 1(SERPING1)
ENSSSCG00000026602	100622305	Sus scrofa	prostaglandin I2 (prostacyclin) receptor (IP)(PTGIR)
ENSSSCG00000006172	100158209	Sus scrofa	peptidase inhibitor 15(PI15)
ENSSSCG00000011730	397053	Sus scrofa	interleukin 12A(IL12A)
ENSSSCG00000011195	100157572	Sus scrofa	polypeptide N-acetylgalactosaminyltransferase 15(GALNT15)
ENSSSCG00000006173	100157012	Sus scrofa	ganglioside induced differentiation associated protein 1(GDAP1)
ENSSSCG00000020694	641355	Sus scrofa	desmoglein 1(DSG1)
ENSSSCG00000016322	100515346	Sus scrofa	atypical chemokine receptor 3(ACKR3)
ENSSSCG00000009881	595128	Sus scrofa	2'-5'-oligoadenylate synthetase 2, 69/71kDa(OAS2)
ENSSSCG00000005455	100155613	Sus scrofa	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1(SVEP1)
ENSSSCG00000003407	100621849	Sus scrofa	zinc finger protein castor homolog 1-like(LOC100621849)
ENSSSCG00000009882	397570	Sus scrofa	2'-5'-oligoadenylate synthetase 1(OAS1)
ENSSSCG00000010475	100124374	Sus scrofa	cytochrome P450, family 26, subfamily A, polypeptide 1(CYP26A1)
ENSSSCG00000013179	100520541	Sus scrofa	cleavage and polyadenylation factor I subunit 1(CLP1)
ENSSSCG00000002806	100514105	Sus scrofa	matrix metallopeptidase 15(MMP15)
ENSSSCG00000012050	100511902	Sus scrofa	regulator of calcineurin 1(RCAN1)
ENSSSCG00000009886	100154198	Sus scrofa	TRAF-type zinc finger domain containing 1(TRAFD1)
ENSSSCG00000030183	100519332	Sus scrofa	golgi SNAP receptor complex member 2(GOSR2)
ENSSSCG00000024614	100737549	Sus scrofa	intersectin-1(LOC100737549)
ENSSSCG00000030575	100620777	Sus scrofa	transmembrane protein 158(TMEM158)
ENSSSCG00000006307	100152372	Sus scrofa	RCSD domain containing 1(RCSD1)
ENSSSCG00000006595	407242	Sus scrofa	involucrin(IVL)
ENSSSCG00000012055	100513379	Sus scrofa	MORC family CW-type zinc finger 3(MORC3)
ENSSSCG00000016138	397449	Sus scrofa	cAMP responsive element binding protein 1(CREB1)
ENSSSCG00000016342	100622397	Sus scrofa	hes family bHLH transcription factor 6(HES6)
ENSSSCG00000010469	100157340	Sus scrofa	membrane associated ring-CH-type finger 5(MARCH5)
ENSSSCG00000016140	100519058	Sus scrofa	frizzled class receptor 5(FZD5)
ENSSSCG00000004180	100152784	Sus scrofa	vanin 3(VNN3)
ENSSSCG00000004586	100156658	Sus scrofa	family with sequence similarity 81 member A(FAM81A)
ENSSSCG00000006187	100155518	Sus scrofa	musculin(MSC)
ENSSSCG00000012462	100523581	Sus scrofa	premature ovarian failure, 1B(POF1B)
ENSSSCG00000012062	106505861	Sus scrofa	E3 ubiquitin-protein ligase TTC3-like(LOC106505861)
ENSSSCG00000012061	100154885	Sus scrofa	phosphatidylinositol glycan anchor biosynthesis class P(PIGP)
ENSSSCG00000002818	100516614	Sus scrofa	plasmolipin(PLLP)
ENSSSCG00000005425	100152140	Sus scrofa	solute carrier family 44 member 1(SLC44A1)
ENSSSCG00000010461	396959	Sus scrofa	ankyrin repeat domain 1(ANKRD1)
ENSSSCG00000011706	100523093	Sus scrofa	ankyrin repeat and ubiquitin domain containing 1(ANKUB1)
ENSSSCG00000004182	100157645	Sus scrofa	trace amine associated receptor 1(TAAR1)
ENSSSCG00000011700	406870	Sus scrofa	ceruloplasmin(CP)
ENSSSCG00000005423	100519123	Sus scrofa	ATP binding cassette subfamily A member 1(ABCA1)
ENSSSCG00000005422	100154081	Sus scrofa	nipsnap homolog 3A(NIPSNAP3A)
ENSSSCG00000006582	100153930	Sus scrofa	S100 calcium binding protein A14(S100A14)
ENSSSCG00000006581	100155146	Sus scrofa	S100 calcium binding protein A16(S100A16)
ENSSSCG00000008768	100521564	Sus scrofa	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2(ARAP2)
ENSSSCG00000004584	100522112	Sus scrofa	glucosaminyl (N-acetyl) transferase 3, mucin type(GCNT3)
ENSSSCG00000007440	397395	Sus scrofa	CD40 molecule(CD40)
ENSSSCG00000011993	100625463	Sus scrofa	protein S (alpha)(PROS1)
ENSSSCG00000010064	100153094	Sus scrofa	glutathione S-transferase theta-1(LOC100153094)
ENSSSCG00000016151	100153306	Sus scrofa	microtubule associated protein 2(MAP2)
ENSSSCG00000006197	100152427	Sus scrofa	sulfatase 1(SULF1)
ENSSSCG00000003423	100524629	Sus scrofa	dorsal inhibitory axon guidance protein(DRAXIN)
ENSSSCG00000014202	100233203	Sus scrofa	StAR related lipid transfer domain containing 4(STARD4)
ENSSSCG00000023379	100514753	Sus scrofa	ubiquitin conjugating enzyme E2 L6(UBE2L6)
ENSSSCG00000005437	595111	Sus scrofa	Kruppel like factor 4(KLF4)
ENSSSCG00000010451	100155467	Sus scrofa	interferon induced protein with tetratricopeptide repeats 2(IFIT2)
ENSSSCG00000004199	100524836	Sus scrofa	erythrocyte membrane protein band 4.1 like 2(EPB41L2)
ENSSSCG00000010455	100157079	Sus scrofa	solute carrier family 16 member 12(SLC16A12)
ENSSSCG00000010454	100151816	Sus scrofa	interferon-induced protein with tetratricopeptide repeats 5(LOC100151816)
ENSSSCG00000006191	100154419	Sus scrofa	XK related 9(XKR9)
ENSSSCG00000010453	100153038	Sus scrofa	interferon-induced protein with tetratricopeptide repeats 1(IFIT1)
ENSSSCG00000004192	100152141	Sus scrofa	connective tissue growth factor(CTGF)
ENSSSCG00000012070	100516832	Sus scrofa	beta-1,3-galactosyltransferase 5(B3GALT5)
ENSSSCG00000010452	100154248	Sus scrofa	interferon induced protein with tetratricopeptide repeats 3(IFIT3)
ENSSSCG00000000605	100153865	Sus scrofa	endoplasmic reticulum protein 27(ERP27)
ENSSSCG00000004357	100154026	Sus scrofa	single-minded family bHLH transcription factor 1(SIM1)
ENSSSCG00000007659	100513075	Sus scrofa	zinc finger CW-type and PWWP domain containing 1(ZCWPW1)
ENSSSCG00000000606	397206	Sus scrofa	matrix Gla protein(MGP)
ENSSSCG00000001703	100153486	Sus scrofa	NFKB inhibitor epsilon(NFKBIE)
ENSSSCG00000001079	100154407	Sus scrofa	E2F transcription factor 3(E2F3)
ENSSSCG00000004165	100037969	Sus scrofa	phosphodiesterase 7B(PDE7B)
ENSSSCG00000008785	100525173	Sus scrofa	family with sequence similarity 114 member A1(FAM114A1)
ENSSSCG00000017693	100513881	Sus scrofa	apoptosis antagonizing transcription factor(AATF)
ENSSSCG00000008265	100233179	Sus scrofa	docking protein 1(DOK1)
ENSSSCG00000010233	100153566	Sus scrofa	DnaJ heat shock protein family (Hsp40) member C12(DNAJC12)
ENSSSCG00000000062	100153407	Sus scrofa	cold shock domain containing C2(CSDC2)
ENSSSCG00000007252	100302109	Sus scrofa	DNA methyltransferase 3 beta(DNMT3B)
ENSSSCG00000027331	100101551	Sus scrofa	collagen type VI alpha 3 chain(COL6A3)
ENSSSCG00000012294	100512511	Sus scrofa	proteolipid protein 2(PLP2)
